Date,County,Date in Selected Range Filter,Month Name,Product Detail Selector,Month Year,Tooltip Date,Sales,Sales Detail
12/1/2016,Clatsop,TRUE,December,Total,12/1/2016,Dec-16,3952.37,3952.37
12/1/2016,Clatsop,TRUE,December,Total,12/1/2016,Dec-16,1845.1,1845.1
12/1/2016,Clatsop,TRUE,December,Total,12/1/2016,Dec-16,64927.36,64927.36
12/1/2016,Clatsop,TRUE,December,Total,12/1/2016,Dec-16,250,250
12/1/2016,Clatsop,TRUE,December,Total,12/1/2016,Dec-16,2132,2132
12/1/2016,Clatsop,TRUE,December,Total,12/1/2016,Dec-16,867,867
12/1/2016,Clatsop,TRUE,December,Total,12/1/2016,Dec-16,349.05,349.05
12/1/2016,Clatsop,TRUE,December,Total,12/1/2016,Dec-16,11028.05,11028.05
12/1/2016,Columbia,TRUE,December,Total,12/1/2016,Dec-16,2771.18,2771.18
12/1/2016,Columbia,TRUE,December,Total,12/1/2016,Dec-16,1500.68,1500.68
12/1/2016,Columbia,TRUE,December,Total,12/1/2016,Dec-16,753.6,753.6
12/1/2016,Columbia,TRUE,December,Total,12/1/2016,Dec-16,70035.54,70035.54
12/1/2016,Columbia,TRUE,December,Total,12/1/2016,Dec-16,943.1,943.1
12/1/2016,Columbia,TRUE,December,Total,12/1/2016,Dec-16,83.43,83.43
12/1/2016,Columbia,TRUE,December,Total,12/1/2016,Dec-16,15.7,15.7
12/1/2016,Columbia,TRUE,December,Total,12/1/2016,Dec-16,2109.48,2109.48
12/1/2016,Coos,TRUE,December,Total,12/1/2016,Dec-16,632.8,632.8
12/1/2016,Coos,TRUE,December,Total,12/1/2016,Dec-16,7699.02,7699.02
12/1/2016,Coos,TRUE,December,Total,12/1/2016,Dec-16,44,44
12/1/2016,Coos,TRUE,December,Total,12/1/2016,Dec-16,600.32,600.32
12/1/2016,Curry,TRUE,December,Total,12/1/2016,Dec-16,9367.72,9367.72
12/1/2016,Curry,TRUE,December,Total,12/1/2016,Dec-16,1662.64,1662.64
12/1/2016,Curry,TRUE,December,Total,12/1/2016,Dec-16,1568.16,1568.16
12/1/2016,Curry,TRUE,December,Total,12/1/2016,Dec-16,25740.21,25740.21
12/1/2016,Curry,TRUE,December,Total,12/1/2016,Dec-16,692.25,692.25
12/1/2016,Curry,TRUE,December,Total,12/1/2016,Dec-16,1044.2,1044.2
12/1/2016,Curry,TRUE,December,Total,12/1/2016,Dec-16,161.6,161.6
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,33762.35,33762.35
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,12428.29,12428.29
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,17852.58,17852.58
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,733.37,733.37
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,23428,23428
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,324086.83,324086.83
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,2029.43,2029.43
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,8690.8,8690.8
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,5761.03,5761.03
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,162.51,162.51
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,3480.97,3480.97
12/1/2016,Deschutes,TRUE,December,Total,12/1/2016,Dec-16,66056.89,66056.89
12/1/2016,Douglas,TRUE,December,Total,12/1/2016,Dec-16,16024,16024
12/1/2016,Douglas,TRUE,December,Total,12/1/2016,Dec-16,2343.2,2343.2
12/1/2016,Douglas,TRUE,December,Total,12/1/2016,Dec-16,164,164
