Date,Product Type,County,Month Name,Month Year,Tooltip Date,Market Share County,Sales,Sales Detail
12/1/2016,Usable MJ,Baker,December,12/1/2016,December 2016,89.87,203565.86,203565.86
12/1/2016,Concentrate/Extract,Baker,December,12/1/2016,December 2016,6.96,340,340
12/1/2016,Edible/Tincture,Baker,December,12/1/2016,December 2016,2.93,50,50
12/1/2016,Usable MJ,Baker,December,12/1/2016,December 2016,89.87,1394.3,1394.3
12/1/2016,Concentrate/Extract,Clackamas,December,12/1/2016,December 2016,10.46,3265.18,3265.18
12/1/2016,Concentrate/Extract,Clackamas,December,12/1/2016,December 2016,10.46,1070.8,1070.8
12/1/2016,Edible/Tincture,Clackamas,December,12/1/2016,December 2016,8.81,3321.49,3321.49
12/1/2016,Edible/Tincture,Clackamas,December,12/1/2016,December 2016,8.81,597.48,597.48
12/1/2016,Other,Clackamas,December,12/1/2016,December 2016,3.49,34.5,34.5
12/1/2016,Other,Clackamas,December,12/1/2016,December 2016,3.49,1671.89,1671.89
12/1/2016,Usable MJ,Clackamas,December,12/1/2016,December 2016,77.23,36854.87,36854.87
12/1/2016,Concentrate/Extract,Clackamas,December,12/1/2016,December 2016,10.46,44,44
12/1/2016,Concentrate/Extract,Clackamas,December,12/1/2016,December 2016,10.46,1350.57,1350.57
12/1/2016,Edible/Tincture,Clackamas,December,12/1/2016,December 2016,8.81,138,138
12/1/2016,Edible/Tincture,Clackamas,December,12/1/2016,December 2016,8.81,766.47,766.47
12/1/2016,Other,Clackamas,December,12/1/2016,December 2016,3.49,195,195
12/1/2016,Other,Clackamas,December,12/1/2016,December 2016,3.49,12,12
12/1/2016,Usable MJ,Clackamas,December,12/1/2016,December 2016,77.23,5437.59,5437.59
12/1/2016,Concentrate/Extract,Clatsop,December,12/1/2016,December 2016,12.49,850,850
12/1/2016,Concentrate/Extract,Clatsop,December,12/1/2016,December 2016,12.49,8608,8608
12/1/2016,Edible/Tincture,Clatsop,December,12/1/2016,December 2016,5.08,3952.37,3952.37
12/1/2016,Other,Clatsop,December,12/1/2016,December 2016,2.31,1845.1,1845.1
12/1/2016,Usable MJ,Clatsop,December,12/1/2016,December 2016,80.11,64927.36,64927.36
12/1/2016,Concentrate/Extract,Clatsop,December,12/1/2016,December 2016,12.49,250,250
12/1/2016,Concentrate/Extract,Clatsop,December,12/1/2016,December 2016,12.49,2132,2132
12/1/2016,Edible/Tincture,Clatsop,December,12/1/2016,December 2016,5.08,867,867
12/1/2016,Other,Clatsop,December,12/1/2016,December 2016,2.31,349.05,349.05
12/1/2016,Usable MJ,Clatsop,December,12/1/2016,December 2016,80.11,11028.05,11028.05
12/1/2016,Concentrate/Extract,Columbia,December,12/1/2016,December 2016,4.75,2771.18,2771.18
12/1/2016,Edible/Tincture,Columbia,December,12/1/2016,December 2016,2.03,1500.68,1500.68
12/1/2016,Other,Columbia,December,12/1/2016,December 2016,0.98,753.6,753.6
12/1/2016,Usable MJ,Columbia,December,12/1/2016,December 2016,92.24,70035.54,70035.54
12/1/2016,Concentrate/Extract,Columbia,December,12/1/2016,December 2016,4.75,943.1,943.1
12/1/2016,Edible/Tincture,Columbia,December,12/1/2016,December 2016,2.03,83.43,83.43
12/1/2016,Other,Columbia,December,12/1/2016,December 2016,0.98,15.7,15.7
12/1/2016,Usable MJ,Columbia,December,12/1/2016,December 2016,92.24,2109.48,2109.48
12/1/2016,Edible/Tincture,Coos,December,12/1/2016,December 2016,7.54,632.8,632.8
12/1/2016,Usable MJ,Coos,December,12/1/2016,December 2016,92.46,7699.02,7699.02
12/1/2016,Edible/Tincture,Coos,December,12/1/2016,December 2016,7.54,44,44
12/1/2016,Usable MJ,Coos,December,12/1/2016,December 2016,92.46,600.32,600.32
12/1/2016,Concentrate/Extract,Curry,December,12/1/2016,December 2016,25,9367.72,9367.72
12/1/2016,Edible/Tincture,Curry,December,12/1/2016,December 2016,6.73,1662.64,1662.64
12/1/2016,Other,Curry,December,12/1/2016,December 2016,4.3,1568.16,1568.16
12/1/2016,Usable MJ,Curry,December,12/1/2016,December 2016,63.97,25740.21,25740.21
12/1/2016,Concentrate/Extract,Curry,December,12/1/2016,December 2016,25,692.25,692.25
12/1/2016,Edible/Tincture,Curry,December,12/1/2016,December 2016,6.73,1044.2,1044.2
12/1/2016,Other,Curry,December,12/1/2016,December 2016,4.3,161.6,161.6
12/1/2016,Concentrate/Extract,Deschutes,December,12/1/2016,December 2016,11.42,33762.35,33762.35
12/1/2016,Concentrate/Extract,Deschutes,December,12/1/2016,December 2016,11.42,12428.29,12428.29
12/1/2016,Edible/Tincture,Deschutes,December,12/1/2016,December 2016,4.74,17852.58,17852.58
12/1/2016,Other,Deschutes,December,12/1/2016,December 2016,5.58,733.37,733.37
12/1/2016,Other,Deschutes,December,12/1/2016,December 2016,5.58,23428,23428
12/1/2016,Usable MJ,Deschutes,December,12/1/2016,December 2016,78.27,324086.83,324086.83
12/1/2016,Concentrate/Extract,Deschutes,December,12/1/2016,December 2016,11.42,2029.43,2029.43
12/1/2016,Concentrate/Extract,Deschutes,December,12/1/2016,December 2016,11.42,8690.8,8690.8
12/1/2016,Edible/Tincture,Deschutes,December,12/1/2016,December 2016,4.74,5761.03,5761.03
12/1/2016,Other,Deschutes,December,12/1/2016,December 2016,5.58,162.51,162.51
